"","X1","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"1",9,3,"United Healthcare Services, Inc (Alabama)","AL","PPO","Yes",2.5,2,2.5,"Commercial","United"
"2",10,3,"UnitedHealthcare Insurance Company (Alabama)","AL","PPO","Yes",2.5,2,2.5,"Commercial","United"
"3",11,2.5,"Aetna Life Insurance Company (Alabama)","AL","PPO","Yes",3,1.5,2,"Commercial","Aetna"
"4",91,3.5,"Aetna Life Insurance Company (Alabama) CMS Contract: H5521","AL","PPO","No (Scheduled)",4,4,3.5,"Medicare","Aetna"
"5",101,3,"HealthSpring of Alabama, Inc. CMS Contract: H0150","AL","HMO","No",2.5,3.5,3,"Medicare","HealthSpring"
"6",111,3,"Humana Benefit Plan of Illinois, Inc. CMS Contract: H5525","AL","PPO","No",3.5,3,3,"Medicare","Humana"
"7",121,3,"Humana Insurance Company CMS Contract: R5826","AL","PPO","No",3.5,2.5,3,"Medicare","Humana"
"8",131,3,"UnitedHealthcare of Alabama, Inc CMS Contract: H0151","AL","HMO","Yes",2.5,3,3,"Medicare","United"
"9",14,2.5,"Care Improvement Plus South Central Insurance Company CMS Contract: H5322","AL","HMO/POS","No",2.5,3,2.5,"Medicare","Care Improvement"
"10",92,2.5,"Aetna Life Insurance Company (Alaska)","AK","PPO","Yes",2,1,2.5,"Commercial","Aetna"
"11",102,2.5,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",3,1.5,2,"Commercial","Blue"
"12",94,4,"UnitedHealthcare of Arizona, Inc. Special Area: Arizona","AZ","HMO","Yes",3.5,3,3.5,"Commercial","United"
"13",103,3.5,"Cigna Health and Life Insurance Company - Arizona","AZ","PPO","Yes",2.5,3.5,3,"Commercial","Cigna"
"14",113,3.5,"Cigna HealthCare of Arizona, Inc.","AZ","HMO/POS","Yes",2.5,3.5,3,"Commercial","Cigna"
"15",123,3.5,"Connecticut General Life Insurance Company - Arizona","AZ","PPO","Yes",2.5,3.5,3,"Commercial","Connecticut General"
"16",132,3.5,"United Healthcare Services, Inc (Arizona)","AZ","PPO","Yes",2.5,3,3,"Commercial","United"
"17",141,3.5,"UnitedHealthcare Insurance Company (Arizona)","AZ","PPO","Yes",2.5,3,3,"Commercial","United"
"18",151,3,"Aetna Health Inc. (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",2.5,2,2.5,"Commercial","Aetna"
"19",161,3,"Aetna Life Insurance Company (Arizona)","AZ","PPO","Yes",3,2,2.5,"Commercial","Aetna"
"20",171,3,"Health Net of Arizona, Inc.","AZ","HMO","Yes",2.5,2.5,2,"Commercial","Health Net"
"21",181,3,"Humana Health Plan, Inc. (Arizona)","AZ","HMO/POS","Yes",2,2.5,3,"Commercial","Humana"
"22",95,4,"Aetna Health Inc. (Pennsylvania) - Arizona CMS Contract: H3931","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"23",104,4,"Aetna Life Insurance Company (Arizona) CMS Contract: H5521","AZ","PPO","Yes",4,4,3.5,"Medicare","Aetna"
"24",114,4,"Cigna HealthCare of Arizona, Inc. CMS Contract: H0354","AZ","HMO","No",3,5,4,"Medicare","Cigna"
"25",124,4,"Humana Insurance Company (Arizona) CMS Contract: H6609","AZ","PPO","Yes",4,3.5,3,"Medicare","Humana"
"26",133,4,"PacifiCare of Colorado, Inc. (AZ/CO/NV) CMS Contract: H0609","AZ","HMO","Yes",3.5,3.5,3,"Medicare","Other"
"27",142,4,"UnitedHeatlhcare of Wisconsin, Inc. (Arizona) CMS Contract: H5253","AZ","HMO/POS","Yes",4,4,3,"Medicare","United"
"28",152,3.5,"Humana Health Plan, Inc. (Arizona) CMS Contract: H2649","AZ","HMO","Yes",3,3.5,3,"Medicare","Humana"
"29",162,3,"Humana Insurance Company CMS Contract: R5826","AZ","PPO","No",3.5,2.5,3,"Medicare","Humana"
"30",172,3,"MediSun, dba Blue Cross Blue Shield of Arizona Advantage CMS Contract: H0302","AZ","HMO","No",3,3.5,3,"Medicare","Blue"
"31",182,2.5,"Health Net of Arizona, Inc. CMS Contract: H0351","AZ","HMO","No",2.5,2.5,2.5,"Medicare","Health Net"
"32",192,2.5,"SCHN/ Mercy Care Plan † CMS Contract: H5580","AZ","HMO","No",2,3,3,"Medicare","Other"
"33",201,2.5,"University of Arizona Health Plans - University Healthcare, Inc. † CMS Contract: H6623","AZ","HMO","No",2,2,2.5,"Medicare","Other"
"34",97,3,"United Healthcare Services, Inc (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial","United"
"35",106,3,"UnitedHealthcare Insurance Company (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial","United"
"36",116,2.5,"Aetna Life Insurance Company (Arkansas)","AR","PPO","Yes",3.5,2,1.5,"Commercial","Aetna"
"37",98,3,"Coventry Health and Life Insurance Company (Iowa) CMS Contract: H1608","AR","PPO","No",3.5,3.5,3,"Medicare","Coventry"
"38",107,3,"Coventry Health Care of Kansas, Inc. CMS Contract: H2672","AR","HMO","No",3,3,3,"Medicare","Coventry"
"39",117,3,"Humana Insurance Company CMS Contract: R5826","AR","PPO","No",3.5,2.5,3,"Medicare","Humana"
"40",127,2.5,"Arkansas Blue Cross & Blue Shield CMS Contract: H8091","AR","PPO","No",3,3,2,"Medicare","Blue"
"41",136,2.5,"Care Improvement Plus South Central Insurance Company CMS Contract: R9896","AR","PPO","No",3,3,2.5,"Medicare","Care Improvement"
"42",144,2.5,"Care Improvement Plus South Central Insurance Company CMS Contract: H6528","AR","PPO","No",3,2.5,2.5,"Medicare","Care Improvement"
"43",153,2.5,"HealthSpring Life and Health CMS Contract: H7787","AR","PPO","No",3,3,2.5,"Medicare","HealthSpring"
"44",163,2,"Care Improvement Plus South Central Insurance Company CMS Contract: R3444","AR","PPO","No",2,1.5,2.5,"Medicare","Care Improvement"
"45",173,2,"HealthSpring Life and Health CMS Contract: H6972","AR","HMO","No",2,2,2.5,"Medicare","HealthSpring"
"46",99,5,"Kaiser Foundation Health Plan, Inc. - Northern California","CA","HMO","Yes",3.5,4.5,4.5,"Commercial","Kaiser"
"47",108,4.5,"Kaiser Foundation Health Plan Inc. - Southern California","CA","HMO","Yes",3,4.5,4.5,"Commercial","Kaiser"
"48",118,4.5,"Sharp Health Plan","CA","HMO","Yes",3.5,4,4,"Commercial","Other"
"49",128,4,"Western Health Advantage","CA","HMO","Yes",3.5,3.5,3.5,"Commercial","Other"
"50",137,3.5,"Anthem Blue Cross Life and Health Insurance Company","CA","PPO","Yes",3,2.5,3,"Commercial","Anthem"
"51",145,3.5,"Blue Cross of California dba Anthem Blue Cross","CA","HMO/POS","Yes",3,3.5,3,"Commercial","Anthem"
"52",154,3.5,"Blue Cross of California dba Anthem Blue Cross","CA","PPO","Yes",3,2.5,3,"Commercial","Anthem"
"53",164,3.5,"Blue Shield of California","CA","HMO/POS","Yes",2.5,3,3,"Commercial","Blue"
"54",174,3.5,"Cigna HealthCare of California, Inc.","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial","Cigna"
"55",184,3.5,"Health Net of California, Inc.","CA","HMO/POS","Yes",2,3.5,3,"Commercial","Health Net"
"56",194,3,"Aetna Life Insurance Company (California)","CA","PPO","Yes",2.5,2.5,2.5,"Commercial","Aetna"
"57",203,3,"Blue Shield of California","CA","PPO","Yes",1.5,2.5,2.5,"Commercial","Blue"
"58",213,3,"Blue Shield of California Life & Health Insurance Company","CA","PPO","Yes",1.5,2.5,2.5,"Commercial","Blue"
"59",222,3,"Chinese Community Health Plan","CA","HMO","No",1,3.5,4,"Commercial","Other"
"60",231,3,"Cigna Health and Life Insurance Company - California","CA","PPO","Yes",2,3,3,"Commercial","Cigna"
"61",241,3,"Connecticut General Life Insurance Company - California","CA","PPO","Yes",2,3,3,"Commercial","Connecticut General"
"62",251,3,"United HealthCare Services, Inc. (California)","CA","PPO","Yes",2,3,3,"Commercial","United"
"63",261,3,"UnitedHealthcare Insurance Company (California)","CA","PPO","Yes",2,3,3,"Commercial","United"
"64",271,3,"UnitedHealthcare of California (formerly PacifiCare of California)","CA","HMO","Yes",2,3,2.5,"Commercial","United"
"65",28,3,"Valley Health Plan","CA","HMO","Yes",1.5,3,3,"Commercial","Other"
"66",910,5,"Kaiser Foundation Health Plan Inc. - Southern California Special Project: AccreditationCMS Contract: H0524","CA","HMO","Yes",4,4.5,4.5,"Medicare","Kaiser"
"67",109,5,"Kaiser Foundation Health Plan, Inc. - Northern California Special Project / Area: Accreditation / NorthCMS Contract: H0524","CA","HMO","Yes",4,4.5,4.5,"Medicare","Kaiser"
"68",119,4,"Aetna Life Insurance Company (California) CMS Contract: H5521","CA","PPO","Yes",4,4,3.5,"Medicare","Aetna"
"69",129,4,"Blue Shield of California CMS Contract: H0504","CA","HMO","Yes",3.5,3.5,3.5,"Medicare","Blue"
"70",138,3.5,"Aetna Health of California, Inc. CMS Contract: H0523","CA","HMO","Yes",2,4,3,"Medicare","Aetna"
"71",155,3.5,"Chinese Community Health Plan CMS Contract: H0571","CA","HMO","No",2,3,4,"Medicare","Other"
"72",165,3.5,"Health Net of California, Inc. CMS Contract: H0562","CA","HMO","Yes",3,3.5,3,"Medicare","Health Net"
"73",175,3.5,"SCAN Health Plan CMS Contract: H5425","CA","HMO","No",3.5,4,3.5,"Medicare","Other"
"74",185,3.5,"UnitedHealthcare of California (formerly PacifiCare of California) CMS Contract: H0543","CA","HMO","Yes",2.5,4,3.5,"Medicare","United"
"75",195,3,"Care1st Health Plan Special Project / Area: Accreditation / CaliforniaCMS Contract: H5928","CA","HMO","Yes",2,3,3,"Medicare","Other"
"76",204,3,"GEMCare Health Plan, Inc. CMS Contract: H5609","CA","HMO","No",3,3,3,"Medicare","Other"
"77",214,3,"Health Net Life Insurance Company - California CMS Contract: H5439","CA","PPO","No",2.5,2.5,3.5,"Medicare","Health Net"
"78",223,3,"Inter Valley Health Plan CMS Contract: H0545","CA","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"79",232,3,"SCAN Health Plan † CMS Contract: H5943","CA","HMO","No",2.5,2,3.5,"Medicare","Other"
"80",242,2.5,"Central Health Plan of California, Inc. CMS Contract: H5649","CA","HMO","No",1,3,3,"Medicare","Other"
"81",252,2,"Easy Choice Health Plan, Inc. CMS Contract: H5087","CA","HMO","No",1,2.5,2.5,"Medicare","Other"
"82",262,2,"Molina Healthcare of California Partner Plan Inc. CMS Contract: H5810","CA","HMO","No",1,2,3,"Medicare","Molina"
"83",911,4,"Orange County Health Authority - dba CalOptima","CA","HMO","Yes",2.5,4,3.5,"Medicaid","Other"
"84",1010,3.5,"Community Health Group","CA","HMO","Yes",3.5,3,2.5,"Medicaid","Other"
"85",1110,3,"Alameda Alliance for Health","CA","HMO","Yes",1.5,2.5,2.5,"Medicaid","Other"
"86",1210,3,"Blue Cross of California Partnership Plan","CA","HMO","Yes",1,2.5,2.5,"Medicaid","Blue"
