"","x","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"1",9,3,"Humana Health Plan","AL","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"2",10,2.5,"Aetna Life Insurance Company (Alabama)","AL","PPO","Yes",3.5,1.5,2,"Commercial","Aetna"
"3",11,2.5,"United Healthcare Insurance","AL","PPO","Yes",2.5,1.5,2,"Commercial","United"
"4",12,2.5,"United HealthCare Services","AL","PPO","Yes",2.5,1.5,2,"Commercial","United"
"5",91,4,"Aetna Life Insurance Company (Pennsylvania)","AL","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"6",101,4,"Humana Health Plan","AL","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"7",111,3.5,"HealthSpring","AL","HMO","No",3.5,4,3,"Medicare","HealthSpring"
"8",121,3.5,"Humana Health Plan - Kentucky","AL","HMO","Yes",3,3,3,"Medicare","Humana"
"9",131,3.5,"Humana Insurance (Ohio)","AL","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"10",141,3.5,"UnitedHealthcare Insurance","AL","PPO","Yes",3,3.5,3,"Medicare","United"
"11",151,3,"Blue Cross and Blue Shield of Alabama","AL","PPO","No",3,3,2.5,"Medicare","Blue"
"12",16,3,"Humana Insurance","AL","PPO","No",4,3,3,"Medicare","Humana"
"13",17,3,"UnitedHealthcare Insurance","AL","HMO","Yes",3,2.5,2.5,"Medicare","United"
"14",92,2.5,"Aetna Life Insurance Company (Alaska)","AK","PPO","Yes",2.5,1,2.5,"Commercial","Aetna"
"15",102,2.5,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",2,2,2,"Commercial","Blue"
"16",93,4,"Aetna Life Insurance Company (Pennsylvania)","AK","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"17",103,3.5,"UnitedHealthcare Insurance","AK","PPO","Yes",3,3.5,3,"Medicare","United"
"18",94,4,"Cigna HealthCare of Arizona","AZ","HMO/POS","Yes",2.5,3.5,3.5,"Commercial","Cigna"
"19",104,3.5,"Cigna Health and Life Insurance","AZ","PPO","Yes",2.5,3.5,3,"Commercial","Cigna"
"20",113,3.5,"Connecticut General Life Insurance (Cigna)","AZ","PPO","Yes",2.5,3.5,3,"Commercial","Connecticut General"
"21",123,3.5,"Health Net of Arizona","AZ","HMO","Yes",2.5,3,3,"Commercial","Health Net"
"22",133,3,"Aetna Health (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",3,2,2.5,"Commercial","Aetna"
"23",142,3,"Aetna Life Insurance Company (Arizona)","AZ","PPO","Yes",3,2.5,3,"Commercial","Aetna"
"24",152,3,"Humana Health Plan","AZ","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"25",161,3,"Humana Health Plan - Arizona","AZ","HMO/POS","Yes",1.5,2.5,3,"Commercial","Humana"
"26",171,3,"United HealthCare Services","AZ","PPO","Yes",3,2.5,2.5,"Commercial","United"
"27",181,3,"UnitedHealthcare Insurance","AZ","PPO","Yes",3,2.5,2.5,"Commercial","United"
"28",191,3,"UnitedHealthcare of Arizona","AZ","HMO","Yes",3.5,2,3,"Commercial","United"
"29",20,2.5,"United Healthcare Insurance","AZ","PPO","Yes",2.5,1.5,2,"Commercial","United"
"30",95,4.5,"Cigna HealthCare of Arizona","AZ","HMO","No",4,5,4.5,"Medicare","Cigna"
"31",105,4,"Aetna Life Insurance Company (Arizona)","AZ","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"32",114,4,"Aetna Life Insurance Company (Pennsylvania)","AZ","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"33",124,4,"Humana Health Plan","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
